Quantity;latitude;Longitude;Date
15146;-63.01;-57.821667;01/05/2020
37660;-63.058333;-58.311389;20/06/2022
27300;-63.133333;-58.733333;05/05/2013
10505;-63.1;-63.083333;29/12/2013
48505;-63.038333;-57.64;11/06/2022
24631;-63.423333;-60.08;01/06/2022
11061;-61.491667;-57.744722;26/01/2013
29178;-63.4;-59.466667;25/03/2013
17659;-63.458333;-59.144722;09/06/2018
9258;-63.455;-59.11;06/06/2018
38166;-63.276667;-59.358333;15/06/2018
7389;-63.058333;-58.906667;22/12/2011
22701;-63.513333;-61.215;25/06/2019
6240;-63.183333;-59.143333;18/12/2011
3184;-62.783333;-62.716667;16/02/2014
21556;-63.226389;-59.194722;12/04/2013
24134;-63.17;-58.22;12/06/2022
24961;-63.258333;-59.533333;28/05/2022
16287;-61.4;-57.836389;22/01/2013
20774;-61.469722;-58.366667;18/01/2013
4483;-61.641667;-58.563333;13/01/2013
26561;-63.151667;-58.428056;04/06/2021
32855;-63.813333;-60.313333;08/04/2021
9506;-63.121667;-58.296667;21/04/2021
29136;-63.08;-58.636389;11/06/2018
17255;-63.278056;-59.255;16/05/2018
3074;-63.761111;-60.436111;16/04/2012
10440;-62.681667;-61.575;03/05/2012
9286;-62.648333;-61.585;05/05/2012
26224;-63.671667;-61.21;11/06/2012
14968;-63.353333;-61.119444;06/07/2019
16744;-62.758333;-57.343333;25/04/2019
10809;-63.353333;-61.113333;08/07/2019
16207;-63.183333;-58.816667;16/05/2014
4790;-61.566667;-61.566667;04/02/2014
10281.9;-63.733333;-60.35;11/05/2013
24194;-62.844722;-54.731667;09/04/2022
15305;-63.583333;-59.45;27/03/2013
25368;-62.863333;-57.388333;14/05/2021
1974;-64.001667;-61.008333;30/04/2021
2253;-63.019722;-58.736389;03/04/2018
10732;-63.026667;-58.123333;20/05/2018
30505;-63.161389;-58.798333;15/05/2019
5497;-63.288333;-59.086667;27/12/2011
5445;-63.171667;-58.65;03/01/2012
27016;-63.133333;-59.79;16/06/2019
16931;-62.888333;-59.676667;14/06/2019
15507;-62.97;-59.288333;06/06/2019
3179;-62.586667;-61.651667;23/05/2012
9024;-63.311389;-59.338333;30/04/2020
14368;-61.616667;-61.483333;29/01/2014
21820;-63.15;-58.75;05/05/2013
12290;-61.544722;-57.633333;26/01/2013
17942;-63.88;-60.54;20/04/2021
36086;-63.88;-60.473333;12/04/2021
18618;-63.993333;-61.016667;26/04/2021
32391;-63.456667;-59.148333;08/06/2018
19522;-63.465;-59.105;06/06/2018
26670;-63.276667;-59.21;15/06/2018
5927;-61.928333;-59.305;28/02/2012
29026;-63.146667;-59.966667;18/06/2019
24467;-63.156667;-60.228056;10/06/2019
26874;-62.886111;-57.336111;29/04/2019
20483;-62.963333;-59.716667;21/04/2019
11972;-61.455;-58.471667;03/01/2021
20509;-63.366667;-60.7;24/04/2014
5884;-62.93;-57.938333;03/05/2020
15623;-63.033333;-57.871667;16/03/2020
39573;-60.343333;-47.423333;15/03/2022
9232;-61.366667;-61.383333;11/01/2014
31371;-63.031667;-57.738333;09/06/2022
3800;-61.383333;-58.165;22/01/2013
10137;-61.74;-58.898333;08/01/2013
19651;-63.975;-60.76;19/04/2021
36483;-63.911389;-60.421667;13/04/2021
7853;-63.452778;-59.573333;08/04/2018
6107;-63.033333;-58.206667;16/05/2018
15641;-63.058333;-58.702778;18/05/2019
3930;-62.081667;-60.298333;08/01/2012
11710;-61.066667;-56.056667;11/01/2019
20071;-62.896667;-57.331667;05/05/2019
21233;-62.97;-59.466667;19/04/2019
16276;-62.573333;-61.088333;21/05/2012
1297;-62.561667;-61.358333;17/05/2012
8980;-63.566667;-60.533333;10/05/2014
17705;-63.016667;-58.896667;07/05/2020
22180;-63.24;-59.216667;10/04/2013
53097;-63.628056;-60.785;23/06/2022
17509.8;-63.116667;-58.75;04/05/2013
18940.9;-63.816667;-60.266667;13/05/2013
14855;-63.316667;-59.383333;10/04/2014
17884;-63.685;-59.896667;11/05/2021
27427;-63.973333;-60.781667;25/04/2021
37085;-63.383333;-59.203056;09/06/2018
14409;-64.202778;-61.296667;20/04/2012
14125;-62.543333;-61.38;10/05/2012
25623;-63.015;-57.915;22/04/2019
22113;-63.466667;-60.35;05/05/2014
19425;-61.483333;-61.5;23/01/2014
24758;-63.263333;-59.038333;08/04/2013
16421;-63.05;-63.066667;09/01/2014
59978;-63.193333;-58.963333;28/04/2022
3605;-62.983333;-58.883333;21/03/2014
4616;-63.333333;-59.25;08/04/2014
35664;-63.26;-59.519722;16/06/2018
15550;-61.083333;-55.916667;30/12/2018
21842;-61.061389;-55.965;06/01/2019
23189;-64.285;-61.473333;11/05/2012
16282;-63.053333;-59.27;20/12/2011
21044;-63.544722;-61.388333;26/06/2019
26264;-61.403333;-58.215;01/01/2021
12332;-63.483333;-60.45;06/05/2014
4409;-62.916667;-62.833333;13/01/2014
17011;-61.533333;-61.55;20/01/2014
18466;-63.333333;-59.3;08/04/2014
15539;-61.506667;-57.878056;25/01/2013
21542;-63.566667;-59.5225;24/03/2013
39032;-63.25;-59.413333;16/06/2018
10947;-63.056667;-58.985;22/12/2011
22472;-63.088333;-60.096667;23/06/2019
31554;-63.013333;-58.083333;23/04/2019
15984;-62.826667;-57.61;02/05/2019
27195;-63.45;-61.433333;13/07/2019
16348;-63.066667;-58.466667;17/05/2014
15915;-63.002778;-58.078056;15/05/2020
17449;-62.613333;-55.356667;05/04/2022
18285;-63.266667;-59.646667;07/04/2013
15936;-62.758333;-54.458333;10/04/2022
19963;-63.583333;-59.266667;27/03/2013
2679;-63.986667;-60.893333;30/04/2021
11673;-63.594722;-59.543333;03/04/2018
20632;-63.563333;-61.87;01/07/2019
20209;-60.802778;-56.225;07/01/2019
15969;-63.183333;-58.873333;14/05/2019
23325;-61.411389;-58.388333;02/01/2021
21161;-63.52;-61.575;11/07/2019
8949;-62.978056;-57.311389;02/05/2020
4157;-62.84;-57.665;16/03/2020
5435;-61.816667;-61.833333;10/01/2014
29202;-63.005;-57.671667;09/06/2022
15145;-63.9;-60.533333;25/03/2014
8144;-61.388333;-57.73;22/01/2013
5999;-61.838333;-58.926389;08/01/2013
19372;-63.976667;-60.933333;19/04/2021
25368;-63.915;-60.485;14/04/2021
7254;-63.31;-59.411389;15/05/2018
22800;-61.086111;-56.156667;31/12/2018
17031;-60.891667;-55.846667;23/12/2018
10257;-60.86;-56.206667;11/01/2019
34289;-62.86;-59.691667;13/06/2019
9862;-62.531667;-61.288333;22/05/2012
11013;-62.57;-61.251667;17/05/2012
26567;-61.316667;-57.463333;11/12/2020
18285;-63.62;-60.943333;18/03/2020
23972;-62.533333;-62.55;15/02/2014
24423;-62.935;-57.646667;12/06/2022
34218.8;-63.116667;-58.916667;02/06/2013
12007;-62.783333;-62.766667;12/01/2014
40613;-63.238333;-59.176667;30/05/2022
13086;-63.9;-60.516667;24/03/2014
11426;-61.525;-58.406667;17/01/2013
