,decimalLongitude,organismQuantity,decimalLatitude,year
71,-35.61,0.0,-53.66,1930
72,-35.61,0.0,-53.66,1930
73,-35.61,0.0,-53.66,1930
74,-35.61,0.0,-53.66,1930
75,-35.61,0.0,-53.66,1930
76,-35.6333,1.35,-53.6667,1930
77,-35.6333,0.0,-53.6667,1930
78,-35.8,0.0,-53.7833,1930
79,-35.8,0.0,-53.7833,1930
80,-35.8,0.0,-53.7833,1930
81,-35.8,0.0,-53.7833,1930
82,-35.8,0.0,-53.7833,1930
83,-35.8,0.0,-53.7833,1930
84,-35.8,0.0,-53.7833,1930
85,-35.8167,0.695,-53.7833,1930
86,-35.8167,0.0,-53.7833,1930
87,-36.0,0.0,-53.8833,1930
88,-36.0,0.0,-53.8833,1930
89,-36.0,0.0,-53.8833,1930
90,-36.0,0.0,-53.8833,1930
91,-36.0,0.0,-53.9,1930
92,-36.0,0.0,-53.9,1930
93,-36.2,0.0,-54.0,1930
94,-36.2,0.0,-54.0,1930
95,-36.2,0.0,-54.0,1930
96,-36.2,0.0,-54.0,1930
97,-36.2,0.0,-54.0167,1930
98,-36.2,0.0,-54.0167,1930
99,-36.4,0.0,-54.1167,1930
100,-36.4,0.0,-54.1167,1930
101,-36.4,0.0,-54.1167,1930
102,-36.4167,0.0,-54.1167,1930
103,-36.4167,0.0,-54.1167,1930
104,-35.4,0.0,-53.5333,1930
105,-35.4,0.0,-53.5333,1930
106,-35.4,0.0,-53.5333,1930
107,-35.4,0.0,-53.5333,1930
108,-35.4,0.0,-53.5333,1930
109,-35.4,0.0,-53.5333,1930
110,-35.4,0.0,-53.5333,1930
111,-35.4167,0.0,-53.5333,1930
112,-35.4167,0.164,-53.5333,1930
113,-37.2333,0.0,-53.7667,1930
114,-37.2333,0.0,-53.7667,1930
115,-37.2333,0.0,-53.7667,1930
116,-37.2333,0.0,-53.9333,1930
117,-37.2333,0.0,-53.9333,1930
118,-37.2333,0.0,-53.9333,1930
119,-37.4,0.0,-53.7667,1930
120,-37.4,0.0,-53.7667,1930
121,-37.4,0.0,-53.9333,1930
122,-37.4,0.0,-53.9333,1930
123,-38.0167,0.0,-53.9167,1930
124,-38.0167,0.0,-53.9167,1930
125,-38.2,0.0,-53.7833,1930
126,-38.2,0.0,-53.7833,1930
127,-38.2,0.0,-53.7833,1930
128,-38.2,0.0,-53.7833,1930
129,-38.2167,0.0,-53.7833,1930
130,-38.2167,0.0,-53.7833,1930
131,-38.4,0.0,-53.65,1930
132,-38.4,0.0,-53.65,1930
133,-38.4,0.0,-53.65,1930
134,-38.4167,1.248,-53.65,1930
135,-38.4167,0.0,-53.65,1930
136,-38.6333,0.0,-53.5833,1930
137,-38.6333,0.168,-53.5833,1930
138,-38.6333,0.0,-53.5833,1930
139,-38.6333,0.0,-53.5833,1930
140,-38.6333,0.0,-53.5833,1930
141,-38.6333,0.0,-53.5833,1930
142,-38.6333,0.0,-53.5833,1930
143,-38.6333,0.0,-53.5833,1930
144,-38.6333,0.0,-53.5833,1930
145,-39.5167,0.0,-53.2833,1930
146,-39.5167,0.0,-53.2833,1930
147,-39.5167,0.0,-53.2833,1930
148,-39.5167,0.0,-53.2833,1930
149,-39.5167,0.0,-53.2833,1930
150,-39.5167,0.0,-53.2833,1930
151,-39.5167,0.0,-53.2833,1930
152,-39.5167,0.0,-53.2833,1930
153,-39.5167,0.0,-53.2833,1930
154,-39.7333,0.0,-53.1667,1930
155,-39.7333,0.0,-53.1667,1930
156,-39.7333,0.0,-53.1667,1930
157,-39.7333,0.0,-53.1667,1930
158,-39.7333,0.0,-53.1667,1930
159,-39.7333,0.0,-53.1667,1930
160,-39.7333,0.0,-53.1667,1930
161,-39.75,0.0,-53.1667,1930
162,-39.75,0.0,-53.1667,1930
163,-99.6333,0.0,-69.7167,1930
164,-99.6333,0.0,-69.7167,1930
165,-100.65,0.0,-70.05,1930
166,-100.65,0.0,-70.05,1930
167,-35.9167,0.0,-53.4667,1930
168,-35.9167,0.0,-53.4667,1930
169,-38.9167,0.0,-53.4667,1930
170,-38.9167,0.0,-53.4667,1930
171,-38.9167,0.0,-53.4667,1930
172,-38.9167,2.6,-53.4667,1930
173,-38.9167,2.597,-53.4667,1930
174,-38.9167,0.0,-53.4667,1930
175,-38.9167,0.0,-53.4667,1930
176,-39.3333,0.0,-53.4333,1930
177,-39.3333,0.0,-53.4333,1930
178,-39.3333,0.0,-53.4333,1930
179,-39.3333,0.0,-53.4333,1930
180,-39.3333,0.0,-53.4333,1930
181,-39.3333,0.0,-53.4333,1930
182,-39.3333,2.597,-53.4333,1930
183,-39.3333,0.0,-53.4333,1930
184,-39.3333,0.0,-53.4333,1930
185,-33.8,0.8,-54.1667,1930
186,-33.8,0.0,-54.1667,1930
187,-33.8,0.0,-54.1667,1930
188,-33.8,0.0,-54.1667,1930
189,-33.8,0.0,-54.1667,1930
190,-33.8,0.0,-54.1667,1930
191,-33.8,0.0,-54.1667,1930
192,-33.8,0.0,-54.1667,1930
193,-33.8,0.0,-54.1667,1930
194,-34.7667,0.0,-53.1167,1930
195,-34.7667,0.0,-53.1167,1930
196,-34.7833,0.0,-53.1167,1930
197,-34.7833,0.0,-53.1167,1930
198,-34.7833,0.0,-53.1167,1930
199,-34.7833,0.0,-53.1167,1930
200,-34.7833,0.0,-53.1167,1930
201,-34.7833,0.0,-53.1167,1930
202,-77.6667,0.091,-69.0667,1930
203,-77.6667,0.91,-69.0667,1930
204,-35.0,0.0,-53.2667,1930
205,-35.0,0.0,-53.2667,1930
206,-35.0,0.0,-53.2667,1930
207,-35.0,0.0,-53.2667,1930
208,-35.0,0.0,-53.2667,1930
209,-35.0,0.0,-53.2667,1930
210,-35.0,0.0,-53.2667,1930
211,-35.0,0.155,-53.2833,1930
212,-35.0,0.0,-53.2833,1930
213,-69.4667,0.0,-67.3,1930
214,-69.4667,0.0,-67.3,1930
215,-69.7667,0.0,-67.1833,1930
216,-69.7667,1.21,-67.1833,1930
217,-70.0667,0.0,-67.0667,1930
218,-70.0667,3.136,-67.0667,1930
219,-70.3667,0.0,-66.95,1930
220,-70.3667,0.0,-66.95,1930
221,-71.0167,0.504,-66.6833,1930
222,-71.0167,0.0,-66.6833,1930
223,-71.35,0.105,-66.55,1930
224,-71.35,0.105,-66.55,1930
225,-71.65,0.9,-66.4333,1930
226,-71.65,0.0,-66.4333,1930
227,-71.95,1.026,-66.3,1930
228,-71.95,0.0,-66.3,1930
229,-32.5,1.15,-55.8833,1930
230,-32.5,1.15,-55.8833,1930
231,-29.3,0.291,-56.0667,1930
232,-29.3,0.194,-56.0667,1930
233,-30.75,0.0,-55.8833,1930
234,-30.75,0.0,-55.8833,1930
235,-51.3333,0.0,-52.4167,1930
236,-51.3333,7.5,-52.4167,1930
237,-53.3667,43.165,-52.1667,1930
238,-53.3667,0.0,-52.1667,1930
239,-47.2333,0.0,-52.9333,1930
240,-47.2333,0.22,-52.9333,1930
241,-49.2333,0.0,-52.6833,1930
242,-49.2333,0.0,-52.6833,1930
243,-29.8833,0.0,-57.95,1930
244,-29.8833,0.0,-57.95,1930
245,-33.7333,17.292,-58.0,1930
246,-33.7333,1.188,-58.0,1930
247,-37.5,800.0,-57.9167,1930
248,-37.5,0.0,-57.9167,1930
249,-40.8167,0.0,-57.7833,1930
250,-40.8167,0.0,-57.7833,1930
251,-45.5833,0.0,-57.5,1930
252,-45.5833,0.119,-57.5,1930
253,-49.7667,0.0,-56.8833,1930
254,-49.7667,0.0,-56.8833,1930
