,year,dcmlLtt,dcmlLng
311,1932,-52.2833,-31.0167
312,1932,-44.73330000000001,-9.633299999999998
313,1932,-44.73330000000001,-9.633299999999998
314,1932,-45.4667,-11.6667
315,1932,-45.4667,-11.6667
316,1932,-42.9333,-4.8667
317,1932,-42.9333,-4.8667
318,1932,-41.0667,-0.2333
319,1932,-41.0667,-0.2333
320,1933,-51.3333,-55.3333
321,1933,-51.3333,-55.3333
322,1933,-50.8167,-51.55
323,1933,-50.8167,-51.55
324,1933,-50.3,-47.2
325,1933,-50.3,-47.2
326,1933,-51.3333,-44.6833
327,1933,-51.3333,-44.6833
328,1933,-54.349999999999994,-44.6
329,1933,-54.349999999999994,-44.6
330,1933,-54.349999999999994,-44.6
331,1933,-56.9333,-44.5333
332,1933,-56.9333,-44.5333
333,1933,-56.9333,-44.5333
334,1933,-59.633300000000006,-11.5167
335,1933,-59.633300000000006,-44.5167
336,1933,-59.633300000000006,-44.5167
337,1933,-60.9667,-44.666700000000006
338,1933,-61.9333,-44.7
339,1933,-61.9333,-44.7
340,1933,-61.9333,-44.7
341,1933,-61.65,-40.0
342,1933,-61.65,-40.0
343,1933,-61.65,-40.0
344,1933,-60.5167,-36.3333
345,1933,-60.5167,-36.3333
346,1933,-60.5167,-36.3333
347,1933,-61.5,-37.23330000000001
348,1933,-60.0167,-32.3667
349,1933,-60.0167,-32.3667
350,1933,-60.0167,-32.3667
351,1933,-58.15,-26.8667
352,1933,-58.55,-27.0833
353,1933,-58.55,-27.0833
354,1933,-58.55,-27.0833
355,1933,-57.4333,-26.15
356,1933,-57.4333,-26.15
357,1933,-57.4333,-26.15
358,1933,-56.5333,-27.3667
359,1933,-56.5333,-27.3667
360,1933,-56.5333,-27.3667
361,1933,-61.0333,-48.45
362,1933,-52.3667,-43.5833
363,1933,-65.3667,4.5667
364,1933,-65.3667,4.5667
365,1933,-65.3667,4.5667
366,1933,-64.5667,1.7167
367,1933,-68.05,8.05
368,1933,-66.5667,6.5
369,1933,-66.5667,6.5
370,1933,-66.5667,6.5
371,1933,-69.3667,9.633299999999998
372,1933,-69.3667,9.633299999999998
373,1933,-69.3667,9.633299999999998
374,1933,-50.3833,13.9167
375,1933,-50.3833,13.9167
376,1934,-52.666700000000006,-37.1
377,1934,-53.0,-37.1167
378,1934,-53.3333,-37.1167
379,1934,-53.666700000000006,-37.1167
380,1934,-54.3,-34.23330000000001
381,1934,-54.3,-34.8167
382,1934,-54.3333,-35.4167
383,1934,-54.3667,-35.8833
384,1934,-64.1,-64.3167
385,1934,-64.8,-67.4333
386,1934,-66.2667,-76.5
387,1934,-66.2667,-76.5
388,1934,-66.2667,-76.5
389,1934,-67.75,-77.85
390,1934,-67.75,-77.85
391,1934,-66.05,-78.0167
392,1934,-66.05,-78.0167
393,1934,-66.4333,-78.0333
394,1934,-66.4333,-78.0333
395,1934,-62.2,-78.0167
396,1934,-62.2,-78.0167
397,1934,-63.5333,-78.0333
398,1934,-63.5333,-78.0333
399,1934,-60.9,-77.9667
400,1934,-60.9,-77.9667
401,1934,-59.5333,-78.0667
402,1934,-59.5333,-78.0667
403,1934,-58.0833,-78.2833
404,1934,-58.0833,-78.2833
405,1934,-56.65,-78.5333
406,1934,-56.65,-78.5333
407,1934,-55.1833,-78.4833
408,1934,-55.1833,-78.4833
409,1934,-55.4,-60.15
410,1934,-55.4,-60.15
411,1934,-58.21,-62.358
412,1934,-60.76670000000001,-65.5167
413,1934,-60.76670000000001,-65.5167
414,1934,-63.4833,-69.68329999999999
415,1934,-63.4833,-69.68329999999999
416,1934,-66.4,-120.6833
417,1934,-65.63329999999999,-123.1667
418,1934,-65.63329999999999,-123.1667
419,1934,-66.85,-126.2333
420,1934,-67.88329999999999,-129.4667
421,1934,-67.88329999999999,-129.4667
422,1934,-68.66669999999999,-132.8667
423,1934,-68.66669999999999,-132.8667
424,1934,-68.66669999999999,-132.8667
425,1934,-67.45,-135.9
426,1934,-67.45,-135.9
427,1934,-66.2,-139.0167
428,1934,-65.1,-141.85000000000002
429,1934,-66.5,-144.65
430,1934,-66.9667,-147.35000000000002
431,1934,-66.9667,-147.35000000000002
432,1934,-68.1167,-150.8167
433,1934,-69.1167,-153.6833
434,1934,-69.1167,-153.6833
435,1934,-69.2333,-156.5
436,1934,-69.8167,-159.21669999999995
437,1934,-69.8167,-159.21669999999995
438,1934,-68.5833,-161.3333
439,1934,-67.5667,-162.9
440,1934,-66.4833,-164.5
441,1934,-65.0833,-166.1333
442,1934,-65.0833,-166.1333
443,1934,-63.6833,-167.6
444,1934,-62.133300000000006,-168.9833
445,1934,-62.133300000000006,-168.9833
446,1934,-60.6833,-169.3
447,1934,-56.6,-171.65
448,1934,-56.6,-171.65
449,1934,-53.9667,-172.1667
450,1934,-53.9667,-172.1667
451,1934,-51.7167,-173.3
452,1934,-51.7167,-173.3
453,1934,-49.45,-174.7333
